date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:27:47	808/808	---M--	404	error ('Not%20Found')	text/html	etag:%22328-6309493ba0a00%22	https://upbeat-lichterman.184-154-109-82.plesk.page/robots.txt		(from )
16:27:47	87423/87423	---M--	200	added ('OK')	text/html	etag:%22685c27e1-1557f%22	https://upbeat-lichterman.184-154-109-82.plesk.page/	C:/Users/Salva/Downloads/Sutton/Sutton/upbeat-lichterman.184-154-109-82.plesk.page/index.html	(from )
16:27:47	234/234	---M--	200	added ('OK')	image/png	etag:%22ea-6381826ad2e98%22	https://upbeat-lichterman.184-154-109-82.plesk.page/images/16x16/17115753/FAVICON-6MJYLXHsd1SjJjFNrZ6dMg-lZHdgYUX0mkl5Q2dvRmUng-sNkTycod6vHVkjA_uaxYOg.png	C:/Users/Salva/Downloads/Sutton/Sutton/upbeat-lichterman.184-154-109-82.plesk.page/images/16x16/17115753/FAVICON-6MJYLXHsd1SjJjFNrZ6dMg-lZHdgYUX0mkl5Q2dvRmUng-sNkTycod6vHVkjA_uaxYOg.png	(from https://upbeat-lichterman.184-154-109-82.plesk.page/)
16:27:48	67108/67108	---M--	200	added ('OK')	image/jpeg	etag:%226856e91f-10624%22	https://upbeat-lichterman.184-154-109-82.plesk.page/images/1200x630/16730239/467032299_18472301761059987_8636788545570390702_n-iSMo1-jjkqQNnLhehva8tA.jpg	C:/Users/Salva/Downloads/Sutton/Sutton/upbeat-lichterman.184-154-109-82.plesk.page/images/1200x630/16730239/467032299_18472301761059987_8636788545570390702_n-iSMo1-jjkqQNnLhehva8tA.jpg	(from https://upbeat-lichterman.184-154-109-82.plesk.page/)
16:27:48	423/423	---M--	200	added ('OK')	image/png	etag:%221a7-6381826adf9b7%22	https://upbeat-lichterman.184-154-109-82.plesk.page/images/32x32/17115753/FAVICON-6MJYLXHsd1SjJjFNrZ6dMg-lZHdgYUX0mkl5Q2dvRmUng-sNkTycod6vHVkjA_uaxYOg.png	C:/Users/Salva/Downloads/Sutton/Sutton/upbeat-lichterman.184-154-109-82.plesk.page/images/32x32/17115753/FAVICON-6MJYLXHsd1SjJjFNrZ6dMg-lZHdgYUX0mkl5Q2dvRmUng-sNkTycod6vHVkjA_uaxYOg.png	(from https://upbeat-lichterman.184-154-109-82.plesk.page/)
16:27:48	878/878	---M--	200	added ('OK')	image/png	etag:%2236e-6381826aeb537%22	https://upbeat-lichterman.184-154-109-82.plesk.page/images/96x96/17115753/FAVICON-6MJYLXHsd1SjJjFNrZ6dMg-lZHdgYUX0mkl5Q2dvRmUng-sNkTycod6vHVkjA_uaxYOg.png	C:/Users/Salva/Downloads/Sutton/Sutton/upbeat-lichterman.184-154-109-82.plesk.page/images/96x96/17115753/FAVICON-6MJYLXHsd1SjJjFNrZ6dMg-lZHdgYUX0mkl5Q2dvRmUng-sNkTycod6vHVkjA_uaxYOg.png	(from https://upbeat-lichterman.184-154-109-82.plesk.page/)
16:27:48	1456/1456	---M--	200	added ('OK')	image/png	etag:%226856e91f-5b0%22	https://upbeat-lichterman.184-154-109-82.plesk.page/images/152x152/17115753/FAVICON-6MJYLXHsd1SjJjFNrZ6dMg-lZHdgYUX0mkl5Q2dvRmUng-sNkTycod6vHVkjA_uaxYOg.png	C:/Users/Salva/Downloads/Sutton/Sutton/upbeat-lichterman.184-154-109-82.plesk.page/images/152x152/17115753/FAVICON-6MJYLXHsd1SjJjFNrZ6dMg-lZHdgYUX0mkl5Q2dvRmUng-sNkTycod6vHVkjA_uaxYOg.png	(from https://upbeat-lichterman.184-154-109-82.plesk.page/)
16:27:49	116876/116876	---M--	200	added ('OK')	text/css	etag:%22685c27e2-1c88c%22	https://upbeat-lichterman.184-154-109-82.plesk.page/webcard/static/app.min.1749634410.css	C:/Users/Salva/Downloads/Sutton/Sutton/upbeat-lichterman.184-154-109-82.plesk.page/webcard/static/app.min.1749634410.css	(from https://upbeat-lichterman.184-154-109-82.plesk.page/)
16:27:50	5787/5787	---M--	200	added ('OK')	text/css	etag:%22685c27e2-169b%22	https://upbeat-lichterman.184-154-109-82.plesk.page/g/fonts.css?family=Outfit:300,regular,700%7CSpace+Grotesk:300,regular,700&subset=latin&display=swap	C:/Users/Salva/Downloads/Sutton/Sutton/upbeat-lichterman.184-154-109-82.plesk.page/g/fonts3746.css	(from https://upbeat-lichterman.184-154-109-82.plesk.page/)
16:27:50	242091/242091	---M--	200	added ('OK')	text/css	etag:%22685c27e2-3b1ab%22	https://upbeat-lichterman.184-154-109-82.plesk.page/css/custom.250625171648.css	C:/Users/Salva/Downloads/Sutton/Sutton/upbeat-lichterman.184-154-109-82.plesk.page/css/custom.250625171648.css	(from https://upbeat-lichterman.184-154-109-82.plesk.page/)
